Episode,Delta V,Accum Reward,Total Time,Solved
1.0,1386.043831366005,15.513412025320264,51.33,0.0
2.0,1293.8984934665816,-5.859112025629049,36.71,0.0
3.0,2230.6662431000445,-45.01081385022452,59.18,0.0
4.0,683.656054809811,5.8968906842459,28.52,0.0
5.0,679.4570509292467,7.3993862336739,22.88,0.0
6.0,1613.7724576687453,28.502720978531215,37.230000000000004,0.0
7.0,1837.9660883808087,12.545171387484043,46.92,0.0
8.0,855.3231469538863,38.56695911192443,7.24,1.0
9.0,622.2300024949818,23.12229084951506,15.88,0.0
10.0,918.2917105484792,30.67102283756653,22.84,1.0
11.0,956.692786509448,12.683796854453064,21.490000000000002,0.0
12.0,254.84582503426196,14.10337018236256,8.28,1.0
13.0,284.7124801997218,-0.1855156676472376,8.17,0.0
14.0,345.89544570968366,11.873666516829253,10.69,1.0
15.0,804.544884765601,29.111526418882637,16.55,1.0
16.0,1169.3075131630994,16.60703128932209,24.310000000000002,0.0
17.0,143.83122216576388,10.190447980259115,7.45,1.0
18.0,293.492283107408,15.973179546917292,6.04,1.0
19.0,280.404633428,15.89377533812209,6.0200000000000005,1.0
20.0,945.0843499294506,31.911489586428367,16.45,0.0
21.0,721.6567634359805,21.557814408837338,14.55,0.0
22.0,126.94430215288314,4.044049767351275,2.15,0.0
23.0,937.3550272020213,37.35869864353652,16.53,0.0
24.0,903.5976028309979,42.85621066947197,9.14,1.0
25.0,222.90292079978386,15.149608729228886,3.92,1.0
26.0,696.5064346772026,20.715755701426577,13.18,0.0
27.0,689.8501347242648,20.91187961876133,17.22,1.0
28.0,700.1495451104092,24.8102803755346,15.860000000000001,1.0
29.0,650.3424005514619,10.899224714559303,21.89,0.0
30.0,444.2307220388016,18.10804229183773,10.51,1.0
31.0,534.8752657258474,20.999234274405687,10.77,1.0
32.0,365.6989794166262,12.84459568360018,7.44,1.0
33.0,378.96755520166715,14.528955355966508,9.59,1.0
34.0,771.2624159790859,32.83580121126121,9.85,0.0
35.0,857.7124859012216,25.02440571678764,13.85,0.0
36.0,478.61267683501376,7.854475152323175,11.96,0.0
37.0,898.9984645893118,6.956819909782496,20.64,0.0
38.0,833.435584381697,24.37019024179128,14.58,0.0
39.0,657.4772701656854,14.745419611235185,14.42,0.0
40.0,438.8856256297226,21.82563220330752,11.1,1.0
41.0,679.0590312248978,29.422190053648617,13.9,1.0
42.0,163.75129413918447,10.81738473752973,4.89,1.0
43.0,644.0569664641124,24.528457764456384,8.65,0.0
44.0,895.212710262756,32.81236357549831,12.05,1.0
45.0,237.90009870099883,13.488878390062593,2.86,1.0
46.0,632.8924324575005,24.724627249699996,11.43,1.0
47.0,230.01766659835656,14.803460218258232,4.57,1.0
48.0,762.7982439189074,34.896586621293935,8.65,1.0
49.0,543.7105742219139,19.792530771693787,8.15,0.0
50.0,161.87472442028596,4.6841874588817065,1.32,0.0
51.0,1032.1493538643938,30.504245511037013,10.33,1.0
52.0,396.5419157113455,14.006743049154053,7.45,1.0
53.0,223.69241157607027,6.003643952655105,5.46,0.0
54.0,285.91288694744765,15.627007628728792,8.5,1.0
55.0,641.491335163107,21.780187182332714,12.06,1.0
56.0,919.0448482903536,39.28852107147623,13.74,1.0
57.0,990.1073358768356,31.79190868221762,9.31,0.0
58.0,616.1020710403712,20.948711688196507,3.9,0.0
59.0,530.2352980021335,13.141430235182492,7.24,0.0
60.0,463.9812649487795,20.257805278091027,5.5600000000000005,1.0
61.0,457.84647347829286,11.939816850838557,3.85,0.0
62.0,799.6890048212787,24.948453180938067,6.99,0.0
63.0,442.75547952912916,15.580935347097704,4.53,0.0
64.0,231.3006653424487,8.460993668006243,2.7,0.0
65.0,391.067335132061,11.150939190893723,8.540000000000001,1.0
66.0,985.4682706679681,24.79075655057387,10.72,0.0
67.0,267.06847245941947,10.666533311949701,2.31,0.0
68.0,394.62053090101944,16.849995782168964,5.72,1.0
69.0,895.5574461233225,35.71315509033227,7.17,0.0
70.0,366.1213819497081,12.180416559740362,5.5600000000000005,0.0
71.0,633.3048345211616,25.535641832960287,8.41,1.0
72.0,813.1839029118638,26.33933107109621,10.3,1.0
73.0,613.0452384896104,15.53779494435901,19.55,0.0
74.0,244.78698623224633,13.257896661564216,8.05,1.0
75.0,649.1166349367954,30.765310795384313,14.8,1.0
76.0,956.6201708260805,23.28100050100641,18.02,0.0
77.0,612.8607324063673,22.29647855120584,14.07,1.0
78.0,263.50208147725994,15.428127252068085,5.53,1.0
79.0,541.9893420145779,25.537434381285458,10.67,1.0
80.0,700.1518593310581,28.56684679932332,12.13,0.0
81.0,365.7445983063217,1.1776568861873828,13.75,0.0
82.0,993.5120153453224,45.709376100750866,15.18,1.0
83.0,759.9263953545262,31.01152282946938,10.05,1.0
84.0,184.35046503185208,5.2011060421249296,2.8000000000000003,0.0
85.0,1004.0100283290609,34.09041643141878,10.92,1.0
86.0,867.2399242190991,37.06572225242572,8.09,0.0
87.0,387.65322205678973,16.789346248960484,8.78,1.0
88.0,861.6297573456179,42.27116351085661,9.48,1.0
89.0,343.77792984995153,7.585244243508555,13.08,0.0
90.0,413.9292036548422,14.753770827477187,10.56,0.0
91.0,435.99869776144374,17.353433679837504,11.870000000000001,1.0
92.0,322.90629337152336,16.744197217641652,5.82,1.0
93.0,450.29160656115937,18.002896107680712,12.21,1.0
94.0,286.3343555415244,12.156037576231952,5.29,1.0
95.0,702.4208800813253,33.03181919078796,11.13,1.0
