Episode,Delta V,Accum Reward,Total Time,Solved
1.0,340.20912140810526,10.482377710841616,23.36,1.0
2.0,1454.6978563347209,-23.070686971120217,38.01,0.0
3.0,347.12178595648794,-9.109413357673382,9.86,0.0
4.0,396.92204252274956,-18.851934680643957,13.21,0.0
5.0,1521.5075398282436,-0.6764690417912931,32.13,0.0
6.0,903.6979824591372,16.594002792552317,11.26,0.0
7.0,287.40092761790544,6.64055262991025,11.83,0.0
8.0,193.12321583208487,0.3493229592905518,8.13,0.0
9.0,454.28738330237644,-1.462273759259939,19.59,0.0
10.0,874.8171285331063,0.12758572631595744,26.46,0.0
11.0,589.9117350673913,13.036633090526275,15.57,0.0
12.0,322.3360012254358,18.2162664515119,6.890000000000001,1.0
13.0,380.09995254522204,21.717461913583094,4.8,1.0
14.0,1044.3141611938697,17.51353756825143,21.03,0.0
15.0,1274.9840926092643,28.361419757008036,40.54,1.0
16.0,668.8220572236202,17.44409827675004,13.68,0.0
17.0,853.6322137523247,15.527683499997515,28.37,0.0
18.0,726.7081105486141,13.605262094263853,19.02,0.0
19.0,569.9675982413701,13.91217348625652,16.63,0.0
20.0,847.5968839282825,11.421680420581456,27.63,0.0
21.0,373.27034238168073,9.12573822063474,12.31,0.0
22.0,2073.5106930258708,13.703174692077624,48.64,0.0
23.0,638.3823559575623,17.302822151435855,13.76,0.0
24.0,721.0863904034898,12.661091182680027,18.21,0.0
25.0,789.0554074213031,15.288191758572637,7.930000000000001,0.0
26.0,859.2295805340815,22.073075981150495,17.95,0.0
27.0,1277.0000037281939,12.09207805105535,25.01,0.0
28.0,941.5073697034306,21.159945673258537,22.490000000000002,0.0
29.0,902.7176064457951,20.4484284422468,28.22,0.0
30.0,1383.2129982233664,12.534583935711638,37.65,0.0
31.0,1127.5617623616265,22.303319035770382,24.1,0.0
32.0,106.82324929764488,9.108960724683403,2.79,1.0
33.0,113.8604311649653,9.233069744329534,3.73,1.0
34.0,364.48623409717055,20.16278727873164,15.68,1.0
35.0,649.0881188048909,28.501342618638763,14.27,0.0
36.0,315.64822139017394,16.476788293884987,10.18,1.0
37.0,795.7443088259771,20.538458798206623,18.21,0.0
38.0,668.3984466455499,27.768664227353714,15.92,1.0
39.0,1349.4860551235208,14.105193313523664,37.78,0.0
40.0,274.746198091276,15.689529517334709,6.83,1.0
41.0,1301.0618197093734,9.353081472729873,38.910000000000004,0.0
42.0,873.2976348931711,-8.236385894043075,25.13,0.0
43.0,292.52323120131604,-13.835760242851098,8.13,0.0
44.0,314.727197622752,-7.396538593635675,10.620000000000001,0.0
45.0,196.29229230139438,-5.817272888064096,4.8,0.0
46.0,401.53638305067943,-9.077160981253598,13.07,0.0
47.0,474.78345382663053,12.103806860215714,12.09,0.0
48.0,399.7487161261876,13.403486567956588,8.36,0.0
49.0,774.5079595060862,28.689036633954625,16.32,1.0
50.0,211.43997704713297,12.46733640573381,7.32,1.0
51.0,199.00747326183958,6.427309718051345,8.23,0.0
52.0,267.4833279626431,4.465047875144606,6.51,0.0
53.0,581.9527302378918,18.41502382429949,10.48,0.0
54.0,493.35018737082817,9.946866108471271,12.82,0.0
55.0,497.18377746178663,14.495487510730193,12.66,0.0
56.0,233.50860662815225,8.455012301597945,6.76,0.0
57.0,607.7811192081523,22.793655731597532,16.35,0.0
58.0,264.42886726787117,2.604595117120631,4.39,0.0
59.0,911.6355249502533,31.073093531952672,15.4,0.0
60.0,324.3137423768406,19.05113928077087,9.51,1.0
61.0,490.18155254552937,24.610500577970225,8.97,1.0
62.0,769.9215293545597,25.950704117290023,12.700000000000001,0.0
63.0,809.3571112233167,-19.412148125470118,31.43,0.0
64.0,479.40867048392164,6.6359258435782,19.13,0.0
65.0,150.78940144462206,11.106312820128444,5.39,1.0
66.0,783.3895840714531,6.593308305324513,20.91,0.0
67.0,760.4339508049642,22.558181430434647,22.900000000000002,0.0
68.0,377.24451577037064,21.120901807777035,14.620000000000001,1.0
69.0,472.10393757449776,11.354322805870714,14.86,0.0
70.0,581.456462005682,11.568430894314142,16.830000000000002,0.0
71.0,573.0216189012871,22.232158053454,8.98,0.0
72.0,433.81969620178864,21.669135600440235,16.13,1.0
73.0,389.11682402927596,19.119608627947052,9.61,1.0
74.0,625.4766508325071,24.752547716437974,10.370000000000001,0.0
75.0,786.7676878126409,35.43708483761618,19.1,1.0
76.0,612.5648672161647,14.154211223142791,9.39,0.0
77.0,609.9318004739371,22.713183283013397,12.8,0.0
78.0,493.14910532321085,26.964813877182394,9.39,1.0
79.0,884.2898200834516,29.529631917239463,15.200000000000001,0.0
80.0,138.73883251055963,-0.384507599028014,3.36,0.0
81.0,219.09470447443508,13.405506917230221,4.5600000000000005,1.0
82.0,352.82252892224886,19.083813582611327,14.120000000000001,1.0
83.0,422.33855482313004,20.411427320875433,10.31,1.0
84.0,812.6404279856356,32.808447803256044,17.66,1.0
85.0,990.3992430066183,20.295075178329306,31.76,0.0
86.0,508.92782890322565,24.49504769277557,11.81,1.0
