Episode,Delta V,Accum Reward,Total Time,Solved
1.0,325.51318166408424,-13.63055696463121,22.32,0.0
2.0,334.3361716854046,1.8667908157345998,12.450000000000001,0.0
3.0,392.63790638563097,-0.7152649078199573,9.28,0.0
4.0,1078.7936932606374,-31.34653548159492,27.45,0.0
5.0,176.9959234529599,26.213508095935804,7.0600000000000005,0.0
6.0,614.7228728506191,-12.269609250467788,17.09,0.0
7.0,941.1881490387356,-4.237641872373359,27.07,0.0
8.0,937.9394565647473,0.20404235411475025,26.61,0.0
9.0,701.3390201224605,7.531999186175277,20.78,0.0
10.0,750.1115623247814,6.157665023342789,22.51,1.0
11.0,1642.2632322550228,-12.821144274862727,45.18,0.0
12.0,786.5337784365116,12.572525835390493,23.09,1.0
13.0,2285.598572004611,-7.645947931820658,45.51,0.0
14.0,1116.5120991147319,2.1684358196919034,16.13,0.0
15.0,431.4393850933808,-0.9982611207904586,7.45,0.0
16.0,716.3902994817947,-0.253007167846798,16.7,0.0
17.0,369.1995931339048,-0.7332033186444679,13.82,0.0
18.0,567.229575747752,-0.3675918894613889,13.13,0.0
19.0,471.37768310033294,5.019923827352095,11.28,1.0
20.0,580.9177343247977,5.19073227166965,15.6,1.0
21.0,539.587895234763,4.943901150070483,14.1,1.0
22.0,386.1777634425727,5.29014866220465,12.11,1.0
23.0,181.46882425338828,4.647118904285305,7.390000000000001,1.0
24.0,544.9139536253788,4.604658691867845,17.77,1.0
25.0,239.7372331047716,5.347505588229532,5.4,1.0
26.0,663.2760139294539,4.557898178509047,13.56,1.0
27.0,374.71216063469495,5.28520734025005,9.21,1.0
28.0,449.58237744748203,4.867512175620762,8.64,1.0
29.0,152.44467524344853,-0.9931308693700238,2.5300000000000002,0.0
30.0,713.0404105904613,5.061402141285298,11.98,1.0
31.0,522.1155574200709,-1.4010928513435306,8.700000000000001,0.0
32.0,305.3825061044457,-0.6464896169367056,5.8100000000000005,0.0
33.0,347.7927953423895,4.725374740689669,6.37,1.0
34.0,808.7080487708469,-0.3574393073735185,14.57,0.0
35.0,266.80006852563974,4.8540314648725165,4.88,1.0
36.0,384.09161500126726,4.562530268187514,6.5200000000000005,1.0
37.0,352.24817047716033,5.363679692367493,6.65,1.0
38.0,804.8689597762134,0.15356475399228375,12.21,0.0
39.0,760.4346660741676,0.06485177336564552,12.59,0.0
40.0,248.89340878790608,4.588234824886417,5.49,1.0
41.0,611.0686353115927,4.827420318298398,10.5,1.0
42.0,398.93314887678383,5.383797641159652,7.6000000000000005,1.0
43.0,777.0817615631245,4.768586055545017,12.63,1.0
44.0,623.3323991614837,5.4405390112880205,9.33,1.0
45.0,541.6365380108825,4.212274086875753,9.48,1.0
46.0,354.64667759364033,5.469016059948397,7.0,1.0
47.0,463.5561520808851,4.4981715528822415,9.85,1.0
48.0,304.9271157024298,4.710204954444439,7.28,1.0
49.0,851.3255665904942,-1.0806486392412795,13.72,0.0
50.0,310.79452313376873,5.550026209152634,4.55,1.0
51.0,443.4135616918559,0.37921810371805265,7.4,0.0
52.0,543.0709292455294,5.193848654198344,9.42,1.0
53.0,766.0609213863672,-9.411622008474462,11.63,0.0
54.0,592.0721776896314,9.869799226820552,10.18,1.0
55.0,767.638709675183,4.419047642725141,11.59,1.0
56.0,306.3430384797614,5.604394984963559,6.34,1.0
57.0,504.40733069276786,0.29120022776281007,9.25,0.0
58.0,281.48876937715613,5.679516005877833,5.5200000000000005,1.0
59.0,487.22899292657195,5.157255852397916,9.3,1.0
60.0,344.32923791356194,-0.5336128625081415,5.39,0.0
61.0,698.3947248967382,1.208567486957228,11.700000000000001,0.0
62.0,721.1170050814286,5.980946038608484,11.26,1.0
63.0,335.20896712630923,0.3061615586537778,6.49,0.0
64.0,457.9213867244616,6.101358931711317,8.32,1.0
65.0,635.717215062249,4.324571396356619,10.620000000000001,1.0
66.0,279.9261193141044,5.193263363038887,4.65,1.0
67.0,816.7796366986315,5.21519328953469,12.43,1.0
68.0,431.17344871672975,5.16072665328611,8.53,1.0
69.0,430.8116583998782,4.838416795725247,7.16,1.0
70.0,745.9387780943188,4.889145017149396,12.14,1.0
71.0,138.7303247303171,4.795989866682765,3.66,1.0
72.0,547.3748653811641,-0.8737854575279209,6.57,0.0
73.0,851.5218811265372,5.043650623026009,13.1,1.0
74.0,406.47739212738225,5.031160120451158,7.53,1.0
75.0,698.4136398763918,-1.1956085296764687,10.92,0.0
76.0,580.881646680959,5.118502273894327,9.38,1.0
77.0,156.52637981164344,4.720676381530971,5.72,1.0
78.0,207.3217835553254,5.2637250313028385,4.2700000000000005,1.0
79.0,626.8068659732552,4.905726275155076,10.1,1.0
80.0,847.6490753735528,-0.1301635055203807,13.040000000000001,0.0
81.0,652.3928115395922,6.183781728995491,11.5,1.0
82.0,226.71518422669396,4.826503690792795,4.7,1.0
83.0,378.1726601399232,5.159279922888928,8.23,1.0
84.0,474.23799829569316,-0.5507499364834196,8.4,0.0
85.0,276.7309562733621,5.684489382003401,5.7700000000000005,1.0
86.0,692.5557956726612,4.679030965338313,12.74,1.0
87.0,689.8800808406812,5.029401983552856,12.33,1.0
88.0,235.21661066427376,5.134440973560769,4.46,1.0
89.0,323.2167200990152,4.976052363408913,7.75,1.0
90.0,397.53873536782277,4.347528992045654,7.41,1.0
91.0,593.1828746130641,5.524984999650702,11.39,1.0
92.0,602.2993822727221,5.050423572738022,10.24,1.0
93.0,633.7352484185362,4.696893537901365,9.93,1.0
94.0,435.6074472336375,5.339235998532194,8.02,1.0
