	M	1	2	3	4	MEAN
1230	18,68	18,9	18,24	19,75	17,54	18,622
1240	20,9	18,07	19,45	18,69	18,78	19,178
1250	16,38	21,01	13,34	15,73	16,49	16,59
1260	19,57	20,18	15,58	19,63	15,6	18,112
1270	17,89	14,19	15,47	15,51	15,89	15,79
1280	19,88	17,51	19,68	14,6	17,33	17,8
1290	19,84	20,65	20,58	19,46	20,83	20,272
1300	17,59	17,92	17,05	19,91	12,79	17,052
1310	19,13	21,09	18,3	17,92	19,28	19,144
1320	15,19	19,49	18,84	19,04	15,93	17,698
1330	20,84	18,53	19,51	21,81	18,81	19,9
1340	20,12	19,36	22,77	20,62	15,57	19,688
1350	17,71	14,59	16,23	14,09	16,91	15,906
1360	16,93	20,14	18,26	20,36	18,16	18,77
1370	18,57	20,93	19,23	17,5	20,06	19,258
1380	19,79	20,14	19,14	17,87	16,42	18,672
1390	19,75	20,86	18,53	16,52	14,2	17,972
1400	17,28	19,24	17,43	19,06	18,85	18,372
1410	12,84	15,41	20,82	16,03	14,02	15,824
1420	20,62	19,84	19,61	18,63	16,36	19,012
1430	14,16	20,61	19,92	19,42	19,78	18,778
1440	16,12	19,94	17,23	22,45	15,34	18,216
1450	21,86	16,57	17,23	18,08	19,92	18,732
1460	22,64	19,04	15,28	20,66	17,35	18,994
1470	20,24	21,11	18,01	16,57	17,2	18,626
1480	17,73	17,59	20,06	18,31	18,57	18,452
1490	21,07	16,67	16,87	19,62	17,2	18,286
1500	19,31	23,47	19,86	17,47	18,71	19,764
1510	15,87	14,14	19,43	22,62	18,48	18,108
1520	20,01	16,72	21,13	15,92	14,83	17,722
1530	18,1	13,72	20,45	20,41	17,81	18,098
1540	17,61	19,87	18,91	21,94	17,62	19,19
