LR,Ep_timesteps,Up_timesteps,Batch_Epochs,Eval Episodes,Action_std,Date,Hour,N_Training,T_seconds,Avg_reward,Solved Avg,Avg_length,Total Episodes,Total Timesteps,ETF
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:20:12,5,72.55492687225342,-20.873829676971972,0.0,54.375,482,25767,8.041504711376296
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:21:20,10,140.57053899765015,-20.873491020639698,0.0,57.85,953,51260,7.77042716105779
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:22:29,15,208.88641333580017,-20.93417685976441,0.0,52.725,1417,76928,7.678509884366283
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:23:42,20,281.6964864730835,-20.987267292766365,0.0,58.525,1871,102797,7.746653456025653
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:24:48,25,348.1743960380554,-20.905185698874806,0.0,50.15,2316,128443,7.640493727127711
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:25:57,30,416.65842485427856,-21.080185036779497,0.0,60.575,2744,154224,7.600158356737208
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:27:05,35,485.3932285308838,-21.15609349914383,0.0,64.675,3186,179908,7.569822997971187
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:28:15,40,554.7904703617096,-21.00540263803936,0.0,66.575,3608,205808,7.551314773758253
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:29:23,45,623.3773257732391,-21.187906916397168,0.0,64.075,4020,231624,7.522856033164778
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:30:31,50,691.1476352214813,-21.193488793642054,0.0,56.725,4423,257341,7.487432730065452
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:31:41,55,760.6783912181854,-21.158181217378104,0.0,66.75,4823,283135,7.4723205737874965
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:32:49,60,829.4987890720367,-21.0449486902716,0.0,58.225,5218,309102,7.4501280274876835
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:33:57,65,897.3711850643158,-21.20652319501613,0.0,56.95,5613,334859,7.420569435979566
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:35:08,70,967.8984341621399,-21.053955446180666,0.0,74.875,5988,360903,7.412872940756026
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:36:18,75,1037.8905386924744,-21.17455423610305,0.0,68.575,6341,386698,7.399775153575121
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:37:28,80,1107.8301169872284,-21.287995628523582,0.0,80.975,6694,412500,7.38553412993749
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:38:37,85,1177.0454258918762,-21.134400640172075,0.0,72.2,7024,438406,7.3661503032181
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:39:47,90,1247.3749582767487,-21.206135886298583,0.0,80.95,7359,464197,7.353352393765508
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:40:56,95,1316.5720925331116,-21.32143580587722,0.0,74.15,7691,490066,7.333537546915618
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:42:10,100,1390.123449087143,-21.252143689688932,0.0,92.675,8007,516308,7.336762664914131
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:43:22,105,1462.1392667293549,-21.255484550000865,0.0,87.875,8314,542504,7.330036814947608
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:44:34,110,1533.9599170684814,-21.504897448897992,0.0,79.525,8625,568633,7.32117234432336
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:45:45,115,1605.2953054904938,-21.446499646493997,0.0,86.1,8939,594600,7.3091344368774545
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:46:59,120,1678.7869091033936,-21.44909208632263,0.0,89.725,9215,620855,7.3058319299971615
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:48:14,125,1753.9195199012756,-21.837845006421105,0.0,101.175,9509,647313,7.307998009721438
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:49:29,130,1829.5792934894562,-21.441457530967607,0.0,104.6,9793,673438,7.310498482447405
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:50:44,135,1903.6941254138947,-21.447123550487,0.0,98.775,10048,699466,7.3053282883751045
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:51:57,140,1976.6907362937927,-21.62723973397817,0.0,97.15,10310,725750,7.294930104934981
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:53:11,145,2051.038386821747,-21.656975708120747,0.0,102.75,10565,752030,7.288651748961873
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:54:27,150,2126.886805295944,-21.955152873062104,0.0,112.1,10829,778629,7.286556656912522
0.0005,1000,5000,10,40,0.10000000149011612,11/02/2021,00:55:41,155,2200.904716491699,-21.556324166462787,0.0,102.15,11070,804755,7.277184954744941
